#ユーザが持っているアイテム,,,,,,,,,,,,,,
#更新日：2015/06/21,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
#武器,,,,,,,,,,,,,,
#大分類,中分類,名前,HP,力,素早さ,知性,幸運,物理防御特性,魔法防御特性,魔法チャージ,魔法効果値,属性,専用アイテムの対象メモリア,個数
#武器,剣,,,,,,,,,,,,,
武器,剣,閃光のウォーソード,0,130,0,0,0,,,,,雷,,1
武器,剣,ディバインソード,0,110,20,0,0,,,,,聖,,1
武器,剣,青紅の剣(レア5),5,154,0,0,0,5,,,,なし,,1
#武器,槍,,,,,,,,,,,,,
#武器,弓,,,,,,,,,,,,,
武器,弓,ディバインアロー,0,90,20,0,0,,,,,聖,,1
武器,弓,ブリザードロングボウ,0,100,0,0,0,,,,,氷,,1
武器,弓,セレーネボウ,30,112,0,0,0,0,,,,なし,,1 #不要？
武器,弓,黄忠の長弓(レア5),5,122,0,0,0,5,,,,なし,,1
#武器,杖,,,,,,,,,,,,,
武器,杖,チャームステッキ,0,70,0,52,0,,,,,なし,,1
武器,杖,燃える戦杖,0,73,0,70,0,,,,,炎,,1
#武器,楽器,,,,,,,,,,,,,
#武器,格闘,,,,,,,,,,,,,
#武器,銃,,,,,,,,,,,,,
#武器,騎士剣,,,,,,,,,,,,,
武器,騎士剣,フォースイーター,0,100,0,20,0,,,,,なし,,1 #不要？
武器,騎士剣,オブリージュ,0,130,0,30,0,,,,,聖,,1
武器,騎士剣,ネクロフォリア,0,130,0,30,0,,,,,闇,,1
#武器,短剣,,,,,,,,,,,,,
武器,短剣,ダンシングダガー,0,102,0,0,0,,,,,なし,,1
#武器,刀,,,,,,,,,,,,,
武器,刀,烈風,0,121,0,0,0,,,,,風,,1
武器,刀,五月雨,0,121,0,0,15,,,,,水,,1
武器,刀,おろち,0,121,0,0,15,,,,,闇,,1
#武器,斧,,,,,,,,,,,,,
#武器,ロッド,,,,,,,,,,,,,
武器,ロッド,イノセントロッド,0,70,0,78,0,,,,,聖,,1
#武器,カード,,,,,,,,,,,,,
#武器,投擲,,,,,,,,,,,,,
#武器,ブラスターエッジ,,,,,,,,,,,,,
#武器,波動,,,,,,,,,,,,,
#武器,その他,,,,,,,,,,,,,
,,,,,,,,,,,,,,
#魔法,,,,,,,,,,,,,,
#大分類,中分類,名前,HP,力,素早さ,知性,幸運,物理防御特性,魔法防御特性,魔法チャージ,魔法効果値,属性,専用アイテムの対象メモリア,個数
#白魔法,,,,,,,,,,,,,,
魔法,白魔法,ケアル,0,0,0,0,0,0,0,35,10,なし,,1
魔法,白魔法,ケアルバングル,10%,0,0,0,0,0,0,65,10,なし,,1
魔法,白魔法,ケアルラ,0,0,0,0,0,0,0,49,50,なし,,1
魔法,白魔法,プロテアバングル,10%,10%,0,0,0,10,0,120,0,なし,,1 #TODO プロテアを実装できていない
#黒魔法,,,,,,,,,,,,,,
