#名前,HP,力,素早さ,知性,幸運,物理特性,白魔法特性,黒魔法特性,召喚特性,武器種別,ジョブスキル,プレミアムスキル

#限定イベントメモリア
#名前,HP,力,早,知,運,物,白,黒,召,武種,ジョブスキル,プレミアムスキル
ヴァニラ,191,40,18,105,4,0.5,1.7,2,1,ロッド,,
ライトニング(No.39),184,102,50,43,16,1,1,1,1,剣,,
トナカイティーダ,126,22,52,14,14,1,1,1,1,剣,,
サンタライトニング,112,36,36,19,26,1,1,1,1,剣,,
ユウナ(No.48),170,48,31,90,12,0.7,1.7,1,3.5,杖,,
バッツ,320,108,23,8,17,1,0.7,0.7,1,騎士剣,,
レナ,220,67,24,139,14,0.7,1.7,1,1,短剣,,
ロック,299,80,94,12,100,1,0.7,0.7,1,短剣,,
リノア,208,114,22,107,17,1,1,1.7,1,ブラスターエッジ,,
サンクレッド,318,94,42,10,34,1,0.7,0.7,1,剣,,
ヴィンセント,394,84,2,49,28,1,0.7,0.7,1,銃,,
ラムザ,474,121,23,67,12,1,1.5,1.5,1.5,剣,,
アーシェ,438,105,18,102,12,1,1,2,1,騎士剣,,
ガーネット,312,63,90,115,12,1,1.3,1,4,ロッド,,
セシル,510,125,15,21,16,1,0.7,0.7,1,騎士剣,,
ルーネス,710,91,8,33,11,1,0.7,0.7,1,剣,,
イングズ,210,137,16,75,10,1,1.5,1.7,1,斧,,
シャントット,293,40,14,150,13,0.7,1,2,1,ロッド,,
デュース,207,40,32,96,15,1,1,2,1,楽器,,
デシ,320,80,80,20,20,1.0,1.5,1.7,1.5,波動,,

#限定プレミアムメモリア
#名前,HP,力,早,知,運,物,白,黒,召,武種,ジョブスキル,プレミアムスキル
セリス,482,94,10,114,4,1,1.5,1.7,1,剣,,
サイファー,600,180,20,20,5,1,0.7,0.7,1,騎士剣,,
ガーランド,1200,120,4,28,28,1,0.7,0.7,1,斧,,
レノ,595,114,160,14,54,1,0.7,0.7,1,格闘,,
シーモア,465,67,20,162,18,1,1,2,4.3,杖,,
ガブラス,925,135,10,35,55,1,0.7,0.7,1,剣,,
クジャ,475,70,130,144,17,1,1,2,1,波動,,
ゴルベーザ,905,75,12,121,4,1,1,2,1,波動,,
ディリータ,792,137,21,82,12,1,1.7,1,1,騎士剣,,
レオンハルト,775,140,31,14,68,1,0.7,0.7,1,騎士剣,,
ナバート,590,131,65,152,61,1,1,2,1,剣,,
セフィロス,681,126,121,102,150,1,1,1.7,1,刀,,
皇帝,564,115,57,165,48,1,1,2,1,ロッド,,
ゼムス,655,51,16,208,11,1,1,2,1,波動,,
クラサメ,625,133,110,156,16,1,1,2,1,剣,,
シスネ,565,115,104,32,125,,,,,投擲,,
元帥シド,760,156,105,115,10,,,,,刀,,
イデア,468,68,42,181,6,1,1.7,2,1,波動,,

#プレミアムメモリア
#名前,HP,力,早,知,運,物,白,黒,召,武種,ジョブスキル,プレミアムスキル
マリア,398,87,48,139,46,1,1.7,1,1,弓,,
エッジ,502,93,120,15,96,1,0.7,0.7,1,刀,,
ファリス,440,90,90,129,60,1,1,2,1,短剣,,
クラウド(No.28),678,136,25,97,23,1,0.7,0.7,1,騎士剣,,
アーロン,911,129,7,38,4,1,0.7,0.7,1,刀,,
セラ,442,106,89,15,49,1,0.7,0.7,1,弓,,
スタイナー,697,120,4,12,11,1,0.7,0.7,1,騎士剣,,
パンネロ,387,82,53,150,73,1,1,2,1,短剣,,
ノエル,729,136,17,10,8,1,0.7,0.7,1,剣,,
テンゼン,416,138,18,4,34,1,0.7,0.7,1,刀,,
マッシュ,853,121,36,4,18,1,0.7,0.7,1,格闘,,
キマリ,797,114,28,12,4,1,0.7,0.7,1,槍,,
リュック,406,82,155,17,70,1,0.7,0.7,1,短剣,,
パイン,620,116,42,4,12,1,0.7,0.7,1,騎士剣,,
トレイ,371,124,12,31,70,1,0.7,0.7,1,弓,,
ポロム,388,65,35,129,29,0.7,1.7,1,1,杖,,
ユフィ,416,91,91,1,123,1,0.7,0.7,1,投擲,,
ゼル,623,144,29,7,16,1,0.7,0.7,1,格闘,,
フライヤ,547,113,42,22,28,1,0.7,0.7,1,槍,,
エドガー,667,110,4,12,36,1,0.7,0.7,1,槍,,
フラン,414,114,47,21,60,1,0.7,0.7,1,弓,,
ベアトリクス,566,109,31,91,27,1,1.7,1,1,騎士剣,,
イダ,545,120,73,6,11,1,0.7,0.7,1,格闘,,
